!,0.00032229993231701424
/n,0
#,0
"""",0.027040964321397493
%,0
$,0
&,0
),0.01795210623005769
(,0.01795210623005769
+,0.0007735198375608341
*,0.0010958197698778484
-,0.11354626615528411
",",0.4577625938698553
/,0.0012569697360363555
.,0.21165436555258324
;,0.04515422051761369
:,0.012859767299448868
=,0.0016437296548167724
<,0
?,0.0009668997969510426
>,0
@,0
[,0.016630676507557934
],0.016630676507557934
\,9.668997969510427e-05
_,0.04969864956328359
^,0
`,0
{,0.0013214297224997582
},6.445998646340284e-05
|,0.005575788829084346
~,0
